Membership No  Date Joined  Active  
    97493      2019-3-9     yes   
    74357      2015-7-19    no    
    32841      2017-5-7     no    
    31663      2019-9-14    no    
    74862      2018-5-17    no    
    61058      2016-2-6     no    
    98923      2020-1-24    no    
    97772      2015-10-5    no    
    51747      2019-6-16    yes   
    56375      2020-7-10    no    
    61052      2015-3-17    yes   
    73340      2016-11-2    no    
    92560      2018-12-18   yes   
    90068      2019-7-3     no    
    96721      2020-3-15    no    
    70097      2020-12-22   no    
    91817      2018-12-19   yes   
    70184      2020-3-7     no    
    81757      2018-11-1    no    
    41361      2018-3-10    no    
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
    97493      2019-3-9     yes   
    51747      2019-6-16    yes   
    61052      2015-3-17    yes   
    92560      2018-12-18   yes   
    91817      2018-12-19   yes   
