Membership No  Date Joined  Active  
    97691      2020-7-15    no    
    44607      2015-2-9     no    
    61537      2015-10-8    no    
    69288      2019-10-12   no    
    51408      2019-10-3    no    
    55765      2015-2-4     no    
    70712      2015-3-13    no    
    99890      2018-4-2     no    
    97141      2019-6-20    no    
    71710      2017-4-24    no    
    38712      2018-4-6     no    
    82369      2019-11-25   no    
    10928      2015-8-8     no    
    47046      2015-11-9    no    
    45162      2018-11-24   no    
