Membership No  Date Joined  Active  
    69288      2019-10-12   no    
    97491      2015-11-18   yes   
    89226      2020-5-13    yes   
    28442      2015-1-20    yes   
    51408      2019-10-3    no    
    55765      2015-2-4     no    
    70712      2015-3-13    no    
    67393      2019-8-5     yes   
    99890      2018-4-2     no    
    42036      2015-11-25   yes   
    35871      2020-11-1    yes   
    97141      2019-6-20    no    
    71710      2017-4-24    no    
    38712      2018-4-6     no    
    82369      2019-11-25   no    
    10928      2015-8-8     no    
    18326      2018-10-2    yes   
    47046      2015-11-9    no    
    45850      2016-11-25   yes   
    45162      2018-11-24   no    
    97491      2015-11-18   yes   
    89226      2020-5-13    yes   
    28442      2015-1-20    yes   
    67393      2019-8-5     yes   
    42036      2015-11-25   yes   
    35871      2020-11-1    yes   
    18326      2018-10-2    yes   
    45850      2016-11-25   yes   
